"Neighbourhood","Neighbourhood Id","Combined Indicators","Low Income Families","Total Population","Visible Minority Category","Low Income Population","   Unemployed","With Bachelor Degree or Higher","Average Family Income","Pre-Tax Household Income","Social Housing Units","Assaults","Fire Medical Calls"
"Lawrence Park South",103.0,"N/A",580.0,15075.0,1900.0,930.0,700.0,520.0,216754.0,127853.0,113.0,20.0,192.0
"Mount Pleasant West",104.0,"N/A",3220.0,28590.0,8890.0,4740.0,1445.0,1515.0,89797.0,55802.0,1383.0,94.0,535.0
"Lawrence Park North",105.0,"N/A",590.0,14540.0,2270.0,980.0,455.0,390.0,165131.0,125667.0,113.0,27.0,175.0
"Humewood-Cedarvale",106.0,"N/A",1190.0,14110.0,4050.0,1820.0,590.0,620.0,105770.0,57140.0,480.0,45.0,166.0
"Oakwood Village",107.0,"N/A",2280.0,21075.0,9105.0,3930.0,950.0,815.0,67809.0,49838.0,825.0,117.0,314.0
"Briar Hill-Belgravia",108.0,"N/A",1670.0,14295.0,6490.0,2870.0,645.0,805.0,67358.0,53990.0,316.0,66.0,326.0
"Caledonia-Fairbank",109.0,"N/A",930.0,9855.0,3685.0,1720.0,515.0,250.0,66257.0,56115.0,7.0,67.0,162.0
"Keelesdale-Eglinton West",110.0,"N/A",1080.0,10640.0,4850.0,1970.0,605.0,270.0,64857.0,48667.0,351.0,79.0,203.0
"Rockcliffe-Smythe",111.0,"N/A",2640.0,22270.0,10275.0,5160.0,1295.0,805.0,64271.0,49695.0,1092.0,135.0,420.0
"Beechborough-Greenbrook",112.0,"N/A",950.0,6490.0,3475.0,1920.0,360.0,150.0,58706.0,41175.0,824.0,52.0,166.0
"Weston",113.0,"N/A",2650.0,18170.0,4965.0,5050.0,955.0,545.0,61470.0,45119.0,1036.0,183.0,533.0
"Lambton Baby Point",114.0,"N/A",690.0,7920.0,1720.0,1390.0,215.0,230.0,122277.0,69525.0,668.0,30.0,95.0
"Mount Dennis",115.0,"N/A",1930.0,13150.0,8270.0,3770.0,920.0,305.0,57386.0,46811.0,1145.0,98.0,231.0
"Steeles",116.0,"N/A",3520.0,25010.0,22050.0,7570.0,1355.0,1495.0,67732.0,60946.0,0.0,42.0,264.0
"L'Amoreaux",117.0,"N/A",5840.0,44915.0,34310.0,12450.0,2315.0,2550.0,64493.0,53644.0,1776.0,123.0,522.0
"Tam O'Shanter-Sullivan",118.0,"N/A",3100.0,27390.0,19640.0,6570.0,1240.0,1425.0,64630.0,49720.0,607.0,110.0,427.0
"Wexford/Maryvale",119.0,"N/A",2670.0,27020.0,12805.0,5500.0,1400.0,1230.0,69418.0,58939.0,736.0,174.0,610.0
"Clairlea-Birchmount",120.0,"N/A",2680.0,24775.0,13390.0,5650.0,1255.0,950.0,69549.0,59224.0,422.0,261.0,547.0
"Oakridge",121.0,"N/A",2570.0,13505.0,9125.0,5890.0,1040.0,490.0,50793.0,33980.0,1486.0,159.0,458.0
"Birchcliffe-Cliffside",122.0,"N/A",1790.0,21860.0,4430.0,3050.0,1295.0,760.0,90256.0,64701.0,370.0,141.0,547.0
"Cliffcrest",123.0,"N/A",1290.0,15700.0,5545.0,2660.0,720.0,910.0,83694.0,68647.0,510.0,80.0,297.0
"Kennedy Park",124.0,"N/A",2450.0,17050.0,11185.0,4810.0,935.0,575.0,58513.0,44226.0,1360.0,217.0,428.0
"Ionview",125.0,"N/A",1690.0,13095.0,9115.0,3350.0,885.0,660.0,57069.0,46955.0,348.0,98.0,185.0
"Dorset Park",126.0,"N/A",3010.0,24360.0,17820.0,6590.0,1375.0,1245.0,60973.0,51724.0,468.0,134.0,529.0
"Bendale",127.0,"N/A",3170.0,27870.0,18235.0,6870.0,1430.0,1520.0,65560.0,55786.0,504.0,195.0,621.0
"Agincourt South-Malvern West",128.0,"N/A",3110.0,21990.0,17785.0,6400.0,1175.0,1150.0,68465.0,59013.0,250.0,108.0,316.0
"Agincourt North",129.0,"N/A",3980.0,30280.0,27015.0,8250.0,1685.0,1805.0,67622.0,60162.0,247.0,66.0,275.0
"Milliken",130.0,"N/A",3960.0,27160.0,25355.0,8330.0,1445.0,1550.0,66372.0,60262.0,156.0,70.0,282.0
"Rouge",131.0,"N/A",3760.0,45905.0,36175.0,7770.0,2475.0,2495.0,86997.0,81553.0,332.0,176.0,617.0
"Malvern",132.0,"N/A",5170.0,45085.0,39340.0,11490.0,2905.0,2115.0,64497.0,57528.0,1014.0,215.0,617.0
"Centennial Scarborough",133.0,"N/A",690.0,13100.0,4950.0,1330.0,585.0,685.0,102278.0,102864.0,126.0,54.0,184.0
"Highland Creek",134.0,"N/A",1110.0,13100.0,9185.0,2120.0,645.0,1025.0,98857.0,98087.0,0.0,47.0,144.0
"Morningside",135.0,"N/A",2140.0,17585.0,12535.0,4580.0,1110.0,680.0,66024.0,54746.0,523.0,127.0,338.0
"West Hill",136.0,"N/A",3710.0,26550.0,15835.0,7640.0,1675.0,1100.0,65871.0,49713.0,2052.0,342.0,579.0
"Woburn",137.0,"N/A",6860.0,53350.0,38715.0,15430.0,3310.0,2555.0,63186.0,52018.0,2594.0,355.0,876.0
"Eglinton East",138.0,"N/A",2930.0,22830.0,16160.0,6290.0,1490.0,930.0,57357.0,46495.0,885.0,180.0,452.0
"Scarborough Village",139.0,"N/A",2400.0,16615.0,11455.0,5500.0,1035.0,735.0,61631.0,42131.0,788.0,160.0,372.0
"Guildwood",140.0,"N/A",440.0,9815.0,2370.0,790.0,325.0,390.0,92858.0,76055.0,48.0,52.0,209.0
